고객ID,성별,나이,가입채널,요금제,가입일,가입경과월,최근30일_로그인수,월평균사용시간,고객센터문의수,최근3개월_결제실패,이탈여부,이탈일
C1324,여,19,검색광고,스탠다드,2023-10-23,31,18,14.9,0,0,N,
C1325,여,53,지인추천,베이직,2026-04-02,1,3,5.8,0,1,Y,2026-05-01
C1326,여,38,검색광고,베이직,2025-08-13,9,17,12.0,0,0,N,
C1327,여,51,오프라인매장,베이직,2025-05-12,12,15,13.1,0,0,N,
C1328,여,41,검색광고,프리미엄,2025-11-04,6,18,30.3,0,1,N,
C1329,남,44,제휴이벤트,베이직,2025-03-08,14,9,10.8,0,0,N,
C1330,여,42,검색광고,스탠다드,2024-02-03,28,12,16.9,1,1,N,
C1331,남,46,지인추천,스탠다드,2024-02-08,28,14,10.1,1,0,N,
C1332,여,65,소셜미디어,프리미엄,2023-08-24,33,4,7.7,2,0,Y,2025-07-03
C1333,여,50,검색광고,스탠다드,2023-08-07,34,16,14.3,0,2,N,
C1334,남,19,지인추천,스탠다드,2025-07-16,10,13,23.0,1,0,N,
C1335,여,43,제휴이벤트,베이직,2025-11-24,6,9,24.6,1,0,N,
C1336,남,52,제휴이벤트,프리미엄,2023-11-22,30,3,15.2,1,2,Y,2026-02-11
C1337,여,52,소셜미디어,베이직,2025-02-01,16,11,50.8,0,2,N,
C1338,남,33,검색광고,베이직,2023-10-10,32,17,12.6,1,1,N,
C1339,여,52,오프라인매장,프리미엄,2024-08-15,21,12,26.0,0,0,N,
C1340,남,49,지인추천,베이직,2025-09-20,8,3,14.2,0,0,N,
C1341,여,69,검색광고,베이직,2025-10-12,7,12,24.2,1,0,N,
C1342,여,29,오프라인매장,스탠다드,2026-03-07,2,4,9.5,0,1,Y,2026-04-18
C1343,여,32,지인추천,베이직,2024-04-26,25,9,23.3,1,0,N,
C1344,여,34,오프라인매장,베이직,2026-03-07,2,3,10.8,3,0,Y,2026-04-18
C1345,여,32,소셜미디어,스탠다드,2025-09-12,8,9,19.8,0,0,N,
C1346,여,27,소셜미디어,스탠다드,2024-05-26,24,9,14.9,1,0,N,
C1347,남,19,검색광고,스탠다드,2024-05-15,24,3,7.7,0,0,Y,2025-01-19
C1348,여,33,오프라인매장,베이직,2023-09-23,32,9,48.9,0,0,N,
C1349,남,42,검색광고,스탠다드,2026-02-05,3,12,13.4,0,0,N,
C1350,여,32,오프라인매장,프리미엄,2024-01-03,29,12,15.5,1,0,N,
C1351,남,61,오프라인매장,베이직,2024-03-12,27,12,12.1,0,0,N,
C1352,여,38,오프라인매장,베이직,2024-08-13,21,2,2.4,0,1,Y,2026-01-08
C1353,여,53,검색광고,베이직,2023-10-25,31,10,17.7,0,0,N,
C1354,남,41,소셜미디어,스탠다드,2025-10-06,7,11,25.0,0,0,N,
C1355,여,48,소셜미디어,베이직,2025-06-13,11,24,11.0,3,0,N,
C1356,여,41,지인추천,스탠다드,2023-11-14,30,13,35.1,0,0,N,
C1357,여,54,제휴이벤트,프리미엄,2023-11-21,30,12,22.7,0,0,N,
C1358,남,39,소셜미디어,베이직,2023-06-24,35,10,30.4,1,2,N,
C1359,여,44,제휴이벤트,스탠다드,2026-03-08,2,2,8.6,1,0,Y,2026-04-12
C1360,여,42,검색광고,베이직,2024-09-07,21,16,16.8,1,0,N,
C1361,남,35,소셜미디어,베이직,2025-04-29,13,7,15.1,0,1,N,
C1362,남,43,검색광고,스탠다드,2023-11-07,31,3,8.4,2,2,Y,2025-07-12
C1363,남,65,오프라인매장,베이직,2024-02-01,28,20,22.1,3,0,N,
C1364,여,35,검색광고,프리미엄,2024-12-28,17,16,13.9,0,0,N,
C1365,남,43,소셜미디어,스탠다드,2024-01-09,29,10,16.6,1,0,N,
C1366,여,53,오프라인매장,베이직,2025-03-14,14,10,44.1,0,0,N,
C1367,여,52,지인추천,베이직,2026-02-08,3,8,19.5,0,0,N,
C1368,남,38,검색광고,베이직,2024-04-20,25,11,20.5,0,0,N,
C1369,여,19,검색광고,프리미엄,2025-03-09,14,8,38.8,1,0,N,
C1370,여,44,지인추천,스탠다드,2026-01-31,4,12,22.3,0,0,N,
C1371,남,19,소셜미디어,베이직,2026-01-07,4,4,7.3,0,0,Y,2026-02-05
C1372,남,56,검색광고,스탠다드,2023-06-09,36,8,30.0,0,0,N,
C1373,남,40,지인추천,스탠다드,2023-09-26,32,10,26.6,0,0,N,
C1374,남,50,검색광고,스탠다드,2026-04-16,1,12,20.8,0,1,N,
C1375,남,27,지인추천,베이직,2026-02-10,3,2,8.7,0,0,Y,2026-04-06
C1376,여,19,소셜미디어,베이직,2024-05-08,25,15,15.8,0,0,N,
C1377,남,41,검색광고,베이직,2024-12-05,18,14,9.7,1,0,N,
C1378,남,38,검색광고,베이직,2025-01-31,16,10,24.7,1,0,N,
C1379,여,32,검색광고,스탠다드,2025-05-12,12,14,7.6,1,0,N,
C1380,여,39,검색광고,베이직,2025-08-08,9,13,10.0,0,0,N,
C1381,여,69,소셜미디어,베이직,2024-07-02,23,12,16.5,1,0,N,
C1382,여,48,제휴이벤트,베이직,2026-01-03,4,12,15.6,0,0,N,
C1383,남,51,제휴이벤트,베이직,2023-08-02,34,14,26.1,1,0,N,
C1384,남,48,소셜미디어,프리미엄,2023-07-05,35,12,29.5,0,1,N,
C1385,여,56,지인추천,스탠다드,2026-03-17,2,4,18.9,1,3,Y,2026-04-23
C1386,여,36,지인추천,베이직,2023-12-06,30,11,7.0,3,0,N,
C1387,여,19,제휴이벤트,스탠다드,2026-04-25,1,2,9.3,1,0,Y,2026-05-13
C1388,남,36,검색광고,베이직,2024-03-31,26,11,22.8,0,1,N,
C1389,여,48,소셜미디어,프리미엄,2024-06-23,23,12,21.4,1,0,N,
C1390,여,26,소셜미디어,스탠다드,2023-06-30,35,6,24.7,1,0,N,
C1391,남,36,검색광고,스탠다드,2026-03-02,3,5,10.9,0,2,Y,2026-04-16
C1392,여,30,소셜미디어,프리미엄,2024-06-17,23,21,35.7,0,0,N,
C1393,여,56,제휴이벤트,프리미엄,2023-11-26,30,7,21.7,0,0,N,
C1394,남,47,제휴이벤트,프리미엄,2024-10-27,19,17,41.1,0,0,N,
C1395,남,46,검색광고,베이직,2023-11-12,31,15,21.8,0,0,N,
C1396,여,45,소셜미디어,베이직,2025-09-19,8,15,14.5,3,0,N,
C1397,남,38,소셜미디어,스탠다드,2023-08-17,33,8,20.8,0,0,N,
C1398,남,40,지인추천,스탠다드,2024-11-13,18,14,11.6,1,0,N,
C1399,남,24,지인추천,스탠다드,2024-07-21,22,9,11.9,0,0,N,
C1400,남,19,검색광고,스탠다드,2023-07-10,35,20,17.2,1,2,N,
C1401,여,40,제휴이벤트,베이직,2023-07-26,34,4,6.4,1,0,Y,2026-03-08
C1402,여,42,제휴이벤트,베이직,2024-12-04,18,12,35.2,0,0,N,
C1403,남,53,오프라인매장,스탠다드,2024-07-25,22,7,17.1,0,0,N,
C1404,여,57,오프라인매장,베이직,2023-10-17,31,13,10.7,2,0,N,
C1405,여,57,지인추천,스탠다드,2023-10-26,31,14,18.8,0,0,N,
C1406,남,26,소셜미디어,스탠다드,2025-10-05,7,22,21.7,1,0,N,
C1407,여,34,검색광고,스탠다드,2025-07-18,10,15,19.9,1,0,N,
C1408,남,44,지인추천,스탠다드,2025-03-09,14,10,10.4,1,0,N,
C1409,여,68,검색광고,스탠다드,2025-11-04,6,19,37.1,0,0,N,
C1410,여,56,제휴이벤트,스탠다드,2023-08-13,34,10,6.5,1,0,N,
C1411,여,51,소셜미디어,베이직,2025-06-02,12,10,19.7,1,0,N,
C1412,남,33,소셜미디어,스탠다드,2025-08-10,9,4,4.1,0,0,Y,2026-01-04
C1413,여,27,소셜미디어,스탠다드,2023-12-31,29,12,30.8,0,1,N,
C1414,남,47,제휴이벤트,베이직,2024-12-23,17,3,9.3,1,0,Y,2026-01-19
C1415,남,25,검색광고,스탠다드,2025-08-25,9,9,21.7,2,0,N,
C1416,남,35,검색광고,프리미엄,2025-03-04,15,7,16.4,0,0,N,
C1417,여,37,검색광고,베이직,2024-02-21,27,10,35.5,2,0,N,
C1418,남,57,오프라인매장,스탠다드,2025-05-08,12,20,16.4,1,0,N,
C1419,여,34,제휴이벤트,프리미엄,2025-08-17,9,3,17.2,1,0,Y,2026-01-07
C1420,여,19,검색광고,프리미엄,2023-06-11,36,7,11.7,0,0,N,
C1421,남,44,제휴이벤트,베이직,2025-01-25,16,16,18.9,0,2,N,
C1422,남,30,소셜미디어,스탠다드,2024-11-19,18,9,27.0,1,1,N,
C1423,남,39,지인추천,프리미엄,2024-06-25,23,14,24.1,0,0,N,
C1424,여,37,검색광고,스탠다드,2023-07-18,34,4,18.1,0,0,N,
C1425,여,35,지인추천,베이직,2023-08-28,33,16,7.0,1,0,N,
C1426,남,47,오프라인매장,베이직,2025-08-07,9,7,20.4,0,0,N,
C1427,여,20,지인추천,스탠다드,2025-10-29,7,18,15.4,2,0,N,
C1428,남,32,검색광고,베이직,2024-08-20,21,5,13.5,0,0,N,
C1429,여,46,제휴이벤트,베이직,2026-02-25,3,14,27.8,0,0,N,
C1430,여,31,제휴이벤트,베이직,2026-02-12,3,17,6.2,0,0,N,
C1431,여,19,소셜미디어,스탠다드,2025-05-10,12,10,18.5,0,0,N,
C1432,여,46,지인추천,스탠다드,2025-02-08,15,10,3.4,0,0,N,
C1433,여,51,오프라인매장,프리미엄,2026-03-24,2,15,24.2,0,2,N,
C1434,남,37,검색광고,스탠다드,2025-03-11,14,15,27.9,1,0,N,
C1435,남,19,제휴이벤트,프리미엄,2026-02-19,3,13,20.3,0,0,N,
C1436,남,46,소셜미디어,프리미엄,2026-04-08,1,12,14.6,1,0,N,
C1437,여,19,오프라인매장,베이직,2023-12-25,29,8,35.2,1,0,N,
C1438,여,42,검색광고,스탠다드,2025-05-04,13,10,36.4,1,0,N,
C1439,여,27,소셜미디어,베이직,2025-07-18,10,2,8.9,0,0,Y,2026-03-14
C1440,여,24,지인추천,프리미엄,2025-10-21,7,14,39.1,1,0,N,
C1441,남,33,지인추천,베이직,2024-06-07,24,14,11.7,0,0,N,
C1442,여,36,제휴이벤트,스탠다드,2025-12-04,5,13,17.6,0,0,N,
C1443,남,30,제휴이벤트,프리미엄,2024-11-01,19,4,4.5,0,0,N,
C1444,남,45,검색광고,베이직,2024-07-16,22,6,9.8,0,0,N,
C1445,여,33,소셜미디어,프리미엄,2023-11-15,30,10,9.3,0,0,N,
C1446,여,50,소셜미디어,베이직,2024-05-08,25,2,9.6,0,2,Y,2025-02-03
C1447,여,41,지인추천,베이직,2026-04-04,1,12,10.2,1,0,N,
C1448,남,30,지인추천,스탠다드,2025-07-02,11,18,5.9,0,1,N,
C1449,여,28,제휴이벤트,베이직,2025-07-13,10,14,12.9,1,0,N,
C1450,남,19,오프라인매장,스탠다드,2026-01-09,4,15,13.8,0,0,N,
C1451,여,41,검색광고,프리미엄,2024-03-11,27,12,8.7,1,0,N,
C1452,여,34,소셜미디어,베이직,2025-05-05,13,3,7.8,0,0,Y,2026-04-30
C1453,남,19,지인추천,스탠다드,2024-06-30,23,9,21.3,2,0,N,
C1454,남,32,소셜미디어,프리미엄,2025-11-20,6,10,7.5,1,0,N,
C1455,남,27,검색광고,스탠다드,2024-08-23,21,11,26.0,1,0,N,
C1456,여,57,소셜미디어,베이직,2025-11-27,6,13,11.3,0,0,N,
C1457,남,19,소셜미디어,프리미엄,2025-08-05,9,3,5.5,1,1,Y,2026-03-27
C1458,여,21,검색광고,베이직,2025-08-31,9,14,23.4,1,0,N,
C1459,여,51,오프라인매장,스탠다드,2026-02-10,3,14,13.8,1,0,N,
C1460,여,54,소셜미디어,스탠다드,2025-09-20,8,14,9.9,0,0,N,
C1461,남,29,지인추천,스탠다드,2024-05-08,25,14,18.9,1,1,N,
C1462,여,30,지인추천,베이직,2024-12-07,18,6,31.0,0,2,N,
C1463,남,45,제휴이벤트,베이직,2024-10-16,19,3,11.6,0,0,Y,2025-02-03
C1464,여,19,검색광고,스탠다드,2023-08-08,34,15,13.1,1,0,N,
C1465,여,19,검색광고,베이직,2025-02-21,15,9,10.8,1,0,N,
C1466,여,35,소셜미디어,스탠다드,2024-09-08,21,9,12.1,1,0,N,
C1467,여,57,소셜미디어,스탠다드,2024-07-23,22,8,29.3,0,1,N,
C1468,남,33,소셜미디어,스탠다드,2023-09-25,32,11,12.0,0,0,N,
C1469,여,39,오프라인매장,베이직,2024-11-18,18,10,38.2,0,0,N,
C1470,남,52,검색광고,베이직,2025-02-06,15,4,9.3,2,0,Y,2026-02-18
C1471,남,63,검색광고,프리미엄,2023-09-21,32,11,17.8,3,1,N,
C1472,남,31,소셜미디어,베이직,2025-04-07,13,5,5.2,0,0,Y,2025-11-02
C1473,남,38,오프라인매장,베이직,2023-11-26,30,10,19.0,0,0,N,
C1474,남,60,제휴이벤트,베이직,2023-11-02,31,3,3.9,1,0,Y,2026-02-09
C1475,남,20,오프라인매장,베이직,2024-08-01,22,11,7.7,1,0,N,
C1476,남,50,지인추천,프리미엄,2024-07-19,22,21,23.4,1,1,N,
C1477,여,26,오프라인매장,베이직,2026-01-30,4,9,17.7,0,0,N,
C1478,여,39,오프라인매장,베이직,2023-08-12,34,3,10.6,1,2,Y,2026-04-10
C1479,남,35,검색광고,스탠다드,2024-06-07,24,10,21.0,0,0,N,
C1480,남,27,지인추천,베이직,2025-07-22,10,9,12.8,0,0,N,
C1481,남,26,오프라인매장,베이직,2024-02-22,27,16,29.1,1,0,N,
C1482,여,41,소셜미디어,프리미엄,2026-04-11,1,10,13.7,0,0,N,
C1483,남,50,오프라인매장,스탠다드,2025-07-31,10,12,33.2,1,1,N,
C1484,남,36,지인추천,베이직,2026-03-04,2,16,13.4,0,0,N,
C1485,남,39,지인추천,베이직,2026-03-07,2,20,8.4,0,0,N,
C1486,남,45,검색광고,베이직,2023-09-25,32,17,36.2,1,0,N,
C1487,남,26,오프라인매장,베이직,2024-10-01,20,7,13.2,0,0,N,
C1488,여,47,제휴이벤트,스탠다드,2025-08-01,10,10,13.7,0,2,N,
C1489,여,48,검색광고,스탠다드,2023-06-10,36,4,3.4,0,1,Y,2026-05-18
C1490,여,69,소셜미디어,스탠다드,2024-09-24,20,11,17.0,1,0,N,
C1491,여,33,검색광고,프리미엄,2025-06-02,12,13,9.2,1,0,N,
C1492,여,33,검색광고,베이직,2025-09-22,8,12,35.1,1,0,N,
C1493,남,47,제휴이벤트,프리미엄,2024-08-16,21,3,5.9,2,2,Y,2025-08-06
C1494,여,48,지인추천,스탠다드,2025-12-06,5,7,10.9,0,0,N,
C1495,여,32,소셜미디어,베이직,2025-05-18,12,2,7.4,3,2,Y,2026-02-06
C1496,남,33,소셜미디어,프리미엄,2023-07-19,34,3,20.1,0,1,Y,2025-08-02
C1497,여,44,제휴이벤트,베이직,2024-03-22,26,16,19.0,0,0,N,
C1498,남,28,소셜미디어,스탠다드,2026-02-23,3,11,15.9,1,0,N,
C1499,여,33,오프라인매장,스탠다드,2023-06-03,36,12,18.3,0,0,N,
C1500,여,39,소셜미디어,베이직,2023-09-24,32,13,27.2,1,0,N,
C1501,여,50,검색광고,프리미엄,2024-06-01,24,8,25.9,1,0,N,
C1502,여,31,오프라인매장,베이직,2026-04-24,1,17,20.6,1,0,N,
C1503,여,19,검색광고,프리미엄,2025-06-20,11,16,29.7,1,0,N,
C1504,여,19,오프라인매장,베이직,2023-11-05,31,18,18.8,0,0,N,
C1505,여,23,소셜미디어,베이직,2024-07-23,22,18,16.6,0,1,N,
C1506,남,22,오프라인매장,베이직,2026-02-25,3,14,18.6,1,1,N,
C1507,여,36,오프라인매장,프리미엄,2024-01-20,28,24,13.5,0,0,N,
C1508,남,24,오프라인매장,베이직,2025-02-02,16,20,27.5,1,0,N,
C1509,남,30,검색광고,프리미엄,2024-10-07,20,16,13.1,0,0,N,
C1510,남,29,오프라인매장,베이직,2025-08-18,9,13,5.5,0,0,N,
C1511,여,33,제휴이벤트,스탠다드,2025-08-10,9,16,7.6,0,0,N,
C1512,남,54,검색광고,베이직,2025-11-04,6,12,21.7,0,0,N,
C1513,남,46,소셜미디어,베이직,2023-10-06,32,15,12.0,0,0,N,
C1514,남,38,제휴이벤트,프리미엄,2024-09-26,20,14,26.2,0,0,N,
C1515,남,32,검색광고,베이직,2025-06-06,11,14,17.8,0,1,N,
C1516,남,33,오프라인매장,스탠다드,2024-08-20,21,12,27.4,1,0,N,
C1517,여,42,오프라인매장,스탠다드,2025-05-11,12,4,2.3,0,3,Y,2026-05-08
C1518,남,45,검색광고,스탠다드,2025-04-08,13,9,13.1,0,1,N,
C1519,여,27,지인추천,스탠다드,2024-06-29,23,11,10.7,1,0,N,
C1520,여,38,지인추천,프리미엄,2023-09-15,32,9,55.2,1,0,N,
C1521,남,19,소셜미디어,스탠다드,2026-03-30,2,4,5.7,0,1,Y,2026-05-06
C1522,남,41,제휴이벤트,스탠다드,2025-10-27,7,9,7.6,0,0,N,
C1523,여,47,검색광고,스탠다드,2026-01-08,4,13,21.5,1,0,N,
C1524,남,35,소셜미디어,스탠다드,2024-04-15,25,10,10.2,0,0,N,
C1525,남,60,제휴이벤트,베이직,2024-05-02,25,13,28.8,0,0,N,
C1526,여,27,검색광고,스탠다드,2024-05-10,25,8,31.2,1,0,N,
C1527,여,41,제휴이벤트,베이직,2023-07-04,35,19,10.8,1,0,N,
C1528,여,38,검색광고,스탠다드,2023-11-28,30,13,40.7,0,1,N,
C1529,남,37,지인추천,프리미엄,2024-04-24,25,11,12.2,0,0,N,
C1530,여,37,검색광고,프리미엄,2026-04-17,1,11,20.5,1,2,N,
C1531,여,39,오프라인매장,프리미엄,2024-01-05,29,8,29.2,0,1,N,
C1532,남,48,오프라인매장,스탠다드,2024-11-22,18,13,21.7,1,0,N,
C1533,여,55,제휴이벤트,스탠다드,2025-01-03,17,14,14.3,0,1,N,
C1534,남,38,제휴이벤트,베이직,2024-06-18,23,9,8.4,0,0,N,
C1535,남,48,오프라인매장,스탠다드,2026-02-03,3,12,39.9,1,0,N,
C1536,여,30,오프라인매장,베이직,2023-09-08,33,6,8.8,2,2,Y,2025-07-03
C1537,남,47,지인추천,베이직,2025-12-13,5,6,44.2,0,2,N,
C1538,남,29,제휴이벤트,프리미엄,2025-08-01,10,4,9.4,3,0,Y,2025-12-30
C1539,여,51,지인추천,프리미엄,2024-04-21,25,8,41.2,1,1,N,
C1540,여,65,제휴이벤트,스탠다드,2025-08-26,9,9,11.6,1,0,N,
C1541,여,37,검색광고,베이직,2024-08-30,21,12,12.1,1,2,N,
C1542,여,19,지인추천,스탠다드,2026-03-30,2,4,6.5,2,0,Y,2026-04-30
C1543,여,31,오프라인매장,베이직,2023-07-09,35,13,11.1,0,0,N,
C1544,남,53,검색광고,프리미엄,2023-07-02,35,13,6.9,0,1,N,
C1545,남,45,검색광고,프리미엄,2024-12-31,17,3,5.1,0,0,Y,2026-04-05
C1546,남,41,제휴이벤트,베이직,2026-02-17,3,3,9.4,1,0,Y,2026-04-28
C1547,남,50,소셜미디어,베이직,2023-08-07,34,3,3.6,3,1,Y,2026-05-13
C1548,여,44,검색광고,베이직,2025-09-06,8,6,9.6,1,1,N,
C1549,남,53,소셜미디어,베이직,2026-02-24,3,9,13.2,0,0,N,
C1550,남,49,소셜미디어,베이직,2024-10-30,19,8,10.4,0,0,N,
C1551,남,56,지인추천,베이직,2025-12-10,5,15,13.6,1,0,N,
C1552,남,42,제휴이벤트,베이직,2025-08-15,9,2,6.8,0,0,Y,2025-09-06
C1553,여,49,제휴이벤트,베이직,2024-01-15,28,14,9.4,1,0,N,
C1554,남,34,오프라인매장,베이직,2025-11-26,6,4,5.4,1,0,Y,2025-12-16
C1555,남,31,오프라인매장,스탠다드,2025-06-14,11,16,17.7,1,0,N,
C1556,남,58,소셜미디어,베이직,2023-06-14,36,8,11.3,2,2,N,
C1557,남,41,제휴이벤트,프리미엄,2025-01-25,16,9,8.4,0,1,N,
C1558,여,48,검색광고,베이직,2025-04-27,13,3,4.7,1,0,Y,2026-05-21
C1559,남,39,검색광고,베이직,2025-10-01,8,4,5.9,1,0,Y,2026-01-30
C1560,남,31,제휴이벤트,베이직,2025-08-30,9,1,2.6,1,1,Y,2026-01-14
C1561,남,38,제휴이벤트,스탠다드,2024-10-19,19,3,9.4,1,1,Y,2026-03-27
C1562,여,55,소셜미디어,베이직,2024-04-14,25,13,15.1,0,0,N,
C1563,여,45,오프라인매장,스탠다드,2023-12-22,29,13,11.8,0,0,N,
C1564,여,19,소셜미디어,베이직,2023-09-03,33,3,2.9,3,0,Y,2025-02-15
C1565,여,35,소셜미디어,프리미엄,2025-04-12,13,11,22.1,1,0,N,
C1566,여,59,소셜미디어,베이직,2026-03-19,2,17,31.3,1,0,N,
C1567,남,35,검색광고,베이직,2023-08-25,33,14,13.0,0,0,N,
C1568,남,19,지인추천,프리미엄,2025-06-18,11,15,42.2,2,1,N,
C1569,여,61,소셜미디어,베이직,2025-02-12,15,4,17.3,0,1,N,
C1570,남,46,지인추천,베이직,2023-12-01,30,13,17.6,1,0,N,
C1571,여,37,검색광고,프리미엄,2024-01-13,28,15,26.9,0,0,N,
C1572,남,34,제휴이벤트,베이직,2024-03-29,26,6,22.6,1,0,N,
C1573,여,51,지인추천,베이직,2025-05-30,12,15,9.0,0,0,N,
C1574,여,31,제휴이벤트,베이직,2024-04-14,25,15,12.8,1,0,N,
C1575,여,52,검색광고,베이직,2025-10-29,7,3,11.7,1,2,Y,2026-01-10
C1576,여,45,지인추천,프리미엄,2024-06-28,23,8,22.9,1,0,N,
C1577,여,41,제휴이벤트,스탠다드,2023-09-25,32,14,42.4,2,0,N,
C1578,여,40,소셜미디어,스탠다드,2023-09-10,33,15,21.1,1,0,N,
C1579,남,36,검색광고,베이직,2024-07-31,22,12,23.3,0,0,N,
C1580,남,51,소셜미디어,스탠다드,2024-08-08,22,14,11.8,4,1,N,
C1581,여,28,소셜미디어,스탠다드,2025-07-21,10,12,31.1,0,2,N,
C1582,남,19,소셜미디어,베이직,2024-10-22,19,5,4.4,0,0,N,
C1583,남,45,소셜미디어,프리미엄,2023-11-22,30,14,19.2,0,1,N,
C1584,여,46,소셜미디어,스탠다드,2024-01-14,28,10,23.6,1,0,N,
C1585,여,44,지인추천,스탠다드,2025-01-24,16,15,20.4,1,1,N,
C1586,남,43,검색광고,베이직,2024-05-21,24,12,17.3,0,0,N,
C1587,남,34,소셜미디어,베이직,2025-05-16,12,15,16.3,1,0,N,
C1588,남,47,오프라인매장,스탠다드,2026-02-08,3,16,17.7,1,0,N,
C1589,남,37,검색광고,스탠다드,2024-06-12,23,11,9.8,1,1,N,
C1590,여,32,검색광고,베이직,2025-01-08,16,18,20.4,1,1,N,
C1591,남,34,검색광고,베이직,2025-11-03,6,6,11.8,1,0,N,
C1592,남,62,검색광고,프리미엄,2024-01-11,29,16,13.0,0,1,N,
C1593,여,19,지인추천,베이직,2024-11-25,18,12,9.2,1,0,N,
C1594,남,44,검색광고,베이직,2024-04-21,25,8,61.4,2,0,N,
C1595,남,19,소셜미디어,스탠다드,2025-03-29,14,11,19.6,1,0,N,
C1596,여,37,제휴이벤트,베이직,2025-07-31,10,16,8.1,0,0,N,
C1597,여,33,제휴이벤트,베이직,2023-10-29,31,19,18.6,0,0,N,
C1598,여,19,검색광고,베이직,2023-12-17,29,3,12.4,1,0,Y,2026-04-29
C1599,여,43,소셜미디어,프리미엄,2023-06-25,35,11,20.2,0,0,N,
C1600,남,33,소셜미디어,베이직,2023-06-13,36,14,17.1,0,0,N,
C1601,여,19,제휴이벤트,스탠다드,2023-07-25,34,3,4.5,1,0,Y,2025-08-03
C1602,여,48,제휴이벤트,프리미엄,2025-06-22,11,11,20.3,0,0,N,
C1603,여,55,검색광고,스탠다드,2026-01-18,4,12,25.5,0,0,N,
C1604,여,56,검색광고,스탠다드,2024-08-10,21,14,25.6,0,0,N,
C1605,여,42,소셜미디어,스탠다드,2025-12-27,5,23,19.3,0,0,N,
C1606,여,39,제휴이벤트,베이직,2025-07-17,10,13,19.3,1,2,N,
C1607,남,54,제휴이벤트,스탠다드,2025-10-08,7,4,13.4,0,3,Y,2026-05-12
C1608,여,58,검색광고,프리미엄,2025-07-27,10,11,31.7,1,0,N,
C1609,남,52,지인추천,스탠다드,2023-12-30,29,11,15.9,0,2,N,
C1610,여,27,검색광고,베이직,2024-12-09,17,12,40.6,0,0,N,
C1611,여,40,오프라인매장,베이직,2024-12-11,17,17,8.2,2,1,N,
C1612,여,43,제휴이벤트,프리미엄,2025-04-14,13,15,19.7,1,0,N,
C1613,여,19,소셜미디어,베이직,2025-09-25,8,7,20.8,0,0,N,
C1614,남,44,검색광고,프리미엄,2023-09-28,32,15,10.9,0,0,N,
C1615,여,65,지인추천,베이직,2025-05-19,12,8,7.2,1,1,N,
C1616,여,46,소셜미디어,스탠다드,2025-11-04,6,11,11.1,0,0,N,
C1617,남,56,제휴이벤트,프리미엄,2023-10-02,32,15,28.0,0,0,N,
C1618,남,40,소셜미디어,스탠다드,2024-08-15,21,11,28.4,0,0,N,
C1619,남,37,제휴이벤트,베이직,2026-01-09,4,3,9.9,0,2,Y,2026-03-21
C1620,여,43,소셜미디어,프리미엄,2023-06-26,35,14,11.9,0,0,N,
C1621,남,28,검색광고,베이직,2023-11-19,30,13,28.6,1,0,N,
C1622,여,26,소셜미디어,베이직,2025-10-04,7,13,12.4,0,0,N,
C1623,남,53,검색광고,스탠다드,2023-11-30,30,17,20.4,1,1,N,
C1624,여,54,소셜미디어,베이직,2025-06-17,11,10,17.7,0,0,N,
C1625,남,26,오프라인매장,스탠다드,2026-01-15,4,3,5.8,2,0,Y,2026-02-11
C1626,여,50,검색광고,베이직,2024-11-12,18,16,24.2,0,0,N,
C1627,남,37,검색광고,베이직,2024-10-29,19,9,26.6,0,0,N,
C1628,여,42,검색광고,프리미엄,2024-08-30,21,11,11.6,0,0,N,
C1629,여,44,검색광고,베이직,2024-07-02,23,8,18.2,1,0,N,
C1630,여,50,제휴이벤트,스탠다드,2024-07-09,23,9,25.9,0,0,N,
C1631,여,39,제휴이벤트,스탠다드,2025-01-10,16,15,3.2,0,0,N,
C1632,남,55,검색광고,프리미엄,2026-01-09,4,12,21.7,0,0,N,
C1633,남,42,오프라인매장,스탠다드,2026-04-11,1,15,26.2,0,0,N,
C1634,남,45,오프라인매장,프리미엄,2025-12-09,5,13,22.2,0,1,N,
C1635,남,28,제휴이벤트,베이직,2023-10-06,32,7,22.8,0,0,N,
C1636,여,64,소셜미디어,베이직,2024-04-22,25,15,17.0,3,0,N,
C1637,여,44,소셜미디어,프리미엄,2025-08-15,9,13,25.3,2,0,N,
C1638,여,47,소셜미디어,프리미엄,2025-01-01,17,15,8.8,0,1,N,
C1639,여,19,제휴이벤트,스탠다드,2024-05-22,24,11,11.1,0,1,N,
C1640,여,28,오프라인매장,스탠다드,2024-04-27,25,4,9.0,1,2,Y,2025-01-10
C1641,여,53,지인추천,스탠다드,2023-10-03,32,12,25.3,0,0,N,
C1642,남,41,검색광고,베이직,2024-05-20,24,17,31.0,2,0,N,
C1643,남,19,오프라인매장,프리미엄,2024-08-23,21,12,37.6,0,0,N,
C1644,여,50,제휴이벤트,프리미엄,2024-08-16,21,9,12.0,0,1,N,
C1645,여,31,소셜미디어,스탠다드,2025-01-05,17,2,3.9,0,0,Y,2026-04-05
C1646,남,55,오프라인매장,베이직,2024-03-17,26,13,27.7,0,0,N,
C1647,여,37,소셜미디어,베이직,2024-01-06,29,11,14.1,1,0,N,
C1648,여,40,지인추천,베이직,2026-01-01,5,4,7.0,0,0,Y,2026-03-15
C1649,남,52,지인추천,스탠다드,2024-08-05,22,12,26.3,0,0,N,
