Lot_ID,Process_Step,Equipment_ID,CD_Mean_nm,Overlay_nm,Film_Thickness_nm,Etch_Depth_nm,Metrology_Issue
LOT_202603_0077,Etch,EQP_ETCH_02,38.86,2.55,97.06,58.21,Normal
LOT_202603_0077,Deposition,EQP_DEP_03,39.78,2.55,101.38,60.4,Normal
LOT_202603_0077,CMP,EQP_CMP_02,38.95,2.01,102.38,59.76,Normal
LOT_202603_0078,Lithography,EQP_LITHO_02,39.39,2.23,100.0,56.08,Normal
LOT_202603_0078,Etch,EQP_ETCH_03,41.26,2.78,97.38,63.57,Etch drift
LOT_202603_0078,Deposition,EQP_DEP_03,39.39,1.9,103.97,57.2,Normal
LOT_202603_0078,CMP,EQP_CMP_03,38.77,2.45,103.11,59.28,Normal
LOT_202603_0079,Lithography,EQP_LITHO_04,39.29,2.51,100.09,58.84,Normal
LOT_202603_0079,Etch,EQP_ETCH_02,38.23,2.16,96.69,58.81,Normal
LOT_202603_0079,Deposition,EQP_DEP_03,39.11,2.64,96.52,59.67,Normal
LOT_202603_0079,CMP,EQP_CMP_01,38.43,2.23,101.86,58.39,Normal
LOT_202603_0080,Lithography,EQP_LITHO_03,39.23,2.66,100.86,57.49,Normal
LOT_202603_0080,Etch,EQP_ETCH_04,38.88,2.4,98.21,59.49,Normal
LOT_202603_0080,Deposition,EQP_DEP_01,39.2,2.33,102.38,57.82,Normal
LOT_202603_0080,CMP,EQP_CMP_03,38.87,2.08,100.69,58.46,Normal
LOT_202603_0081,Lithography,EQP_LITHO_02,38.53,2.22,98.68,56.94,Normal
LOT_202603_0081,Etch,EQP_ETCH_03,37.79,2.2,96.6,57.31,Normal
LOT_202603_0081,Deposition,EQP_DEP_02,38.16,1.83,104.09,57.47,Thickness high
LOT_202603_0081,CMP,EQP_CMP_03,38.68,2.38,101.19,57.16,Normal
LOT_202603_0082,Lithography,EQP_LITHO_04,38.71,3.53,99.94,56.73,Overlay shift
LOT_202603_0082,Etch,EQP_ETCH_03,39.97,2.44,100.37,66.29,Etch drift
LOT_202603_0082,Deposition,EQP_DEP_03,38.41,2.29,96.23,57.41,Normal
LOT_202603_0082,CMP,EQP_CMP_01,38.17,1.26,101.08,60.46,Normal
LOT_202603_0083,Lithography,EQP_LITHO_04,39.79,2.61,99.17,59.21,Normal
LOT_202603_0083,Etch,EQP_ETCH_02,38.8,2.68,99.9,55.89,Normal
LOT_202603_0083,Deposition,EQP_DEP_02,38.96,3.07,102.49,57.91,Normal
LOT_202603_0083,CMP,EQP_CMP_01,38.81,2.77,98.95,55.05,Normal
LOT_202603_0084,Lithography,EQP_LITHO_04,38.66,2.46,100.52,56.12,Normal
LOT_202603_0084,Etch,EQP_ETCH_02,40.55,2.23,100.59,55.73,Normal
LOT_202603_0084,Deposition,EQP_DEP_02,40.03,1.77,105.27,56.35,Thickness high
LOT_202603_0084,CMP,EQP_CMP_03,38.57,2.06,98.9,59.25,Normal
LOT_202603_0085,Lithography,EQP_LITHO_04,38.23,3.67,102.44,57.23,Overlay shift
LOT_202603_0085,Etch,EQP_ETCH_04,39.83,2.39,98.94,58.73,Normal
LOT_202603_0085,Deposition,EQP_DEP_03,38.23,2.61,100.82,57.54,Normal
LOT_202603_0085,CMP,EQP_CMP_03,38.41,1.9,101.07,59.84,Normal
LOT_202603_0086,Lithography,EQP_LITHO_04,38.55,4.1,95.83,57.12,Overlay shift
LOT_202603_0086,Etch,EQP_ETCH_03,39.95,2.0,100.58,61.65,Etch drift
LOT_202603_0086,Deposition,EQP_DEP_01,38.97,1.75,103.88,55.9,Normal
LOT_202603_0086,CMP,EQP_CMP_01,39.82,2.14,98.8,56.33,Normal
LOT_202603_0087,Lithography,EQP_LITHO_02,40.69,2.4,100.04,59.33,Normal
LOT_202603_0087,Etch,EQP_ETCH_01,38.54,2.3,100.11,57.23,Normal
LOT_202603_0087,Deposition,EQP_DEP_02,39.84,2.2,103.07,57.55,Thickness high
LOT_202603_0087,CMP,EQP_CMP_01,39.17,1.9,98.37,57.18,Normal
LOT_202603_0088,Lithography,EQP_LITHO_01,39.85,2.08,102.86,57.08,Normal
LOT_202603_0088,Etch,EQP_ETCH_03,39.23,2.1,101.51,56.32,Normal
LOT_202603_0088,Deposition,EQP_DEP_03,38.88,2.6,100.2,59.94,Normal
LOT_202603_0088,CMP,EQP_CMP_02,38.5,2.64,99.61,57.9,Normal
LOT_202603_0089,Lithography,EQP_LITHO_02,39.06,2.41,99.77,58.32,Normal
LOT_202603_0089,Etch,EQP_ETCH_03,40.1,2.74,101.74,57.32,Normal
LOT_202603_0089,Deposition,EQP_DEP_03,39.23,2.54,98.07,56.53,Normal
LOT_202603_0089,CMP,EQP_CMP_03,39.69,2.77,97.82,56.08,Normal
LOT_202603_0090,Lithography,EQP_LITHO_02,38.92,1.94,98.36,56.12,Normal
LOT_202603_0090,Etch,EQP_ETCH_04,38.67,1.78,97.81,58.45,Normal
LOT_202603_0090,Deposition,EQP_DEP_02,38.96,2.52,96.7,58.01,Normal
LOT_202603_0090,CMP,EQP_CMP_02,39.84,2.65,100.93,60.28,Normal
LOT_202603_0091,Lithography,EQP_LITHO_03,38.34,3.09,101.86,57.65,Normal
LOT_202603_0091,Etch,EQP_ETCH_04,39.79,1.8,98.35,57.09,Normal
LOT_202603_0091,Deposition,EQP_DEP_02,38.63,1.82,108.65,57.61,Thickness high
LOT_202603_0091,CMP,EQP_CMP_02,37.73,2.42,96.18,57.9,Normal
LOT_202603_0092,Lithography,EQP_LITHO_01,38.04,3.19,101.82,58.16,Normal
LOT_202603_0092,Etch,EQP_ETCH_03,39.88,1.92,101.09,58.3,Normal
LOT_202603_0092,Deposition,EQP_DEP_03,40.34,2.66,99.57,59.29,Normal
LOT_202603_0092,CMP,EQP_CMP_01,39.33,2.53,100.35,56.63,Normal
LOT_202603_0093,Lithography,EQP_LITHO_02,38.28,2.26,100.3,56.98,Normal
LOT_202603_0093,Etch,EQP_ETCH_04,39.3,3.24,96.51,58.87,Normal
LOT_202603_0093,Deposition,EQP_DEP_03,38.95,2.5,99.14,57.78,Normal
LOT_202603_0093,CMP,EQP_CMP_03,39.09,2.16,96.96,57.65,Normal
LOT_202603_0094,Lithography,EQP_LITHO_04,38.01,2.59,96.27,59.54,Normal
LOT_202603_0094,Etch,EQP_ETCH_02,38.93,2.9,97.43,55.9,Normal
LOT_202603_0094,Deposition,EQP_DEP_01,38.59,2.77,96.96,53.75,Normal
LOT_202603_0094,CMP,EQP_CMP_03,38.68,2.55,102.4,57.31,Normal
LOT_202603_0095,Lithography,EQP_LITHO_03,38.71,2.82,96.26,57.42,Normal
LOT_202603_0095,Etch,EQP_ETCH_03,40.26,2.5,98.98,61.87,Etch drift
LOT_202603_0095,Deposition,EQP_DEP_01,39.11,2.32,103.45,58.75,Normal
LOT_202603_0095,CMP,EQP_CMP_01,38.91,1.98,100.53,56.64,Normal
LOT_202603_0096,Lithography,EQP_LITHO_04,39.13,2.52,99.57,57.05,Normal
LOT_202603_0096,Etch,EQP_ETCH_04,39.81,2.15,100.85,59.8,Normal
LOT_202603_0096,Deposition,EQP_DEP_02,38.04,1.98,99.42,56.82,Normal
LOT_202603_0096,CMP,EQP_CMP_03,39.81,2.88,99.67,56.98,Normal
LOT_202603_0097,Lithography,EQP_LITHO_02,38.74,2.14,97.6,57.56,Normal
LOT_202603_0097,Etch,EQP_ETCH_04,39.11,2.76,100.03,55.64,Normal
LOT_202603_0097,Deposition,EQP_DEP_02,39.25,2.18,102.74,60.14,Normal
LOT_202603_0097,CMP,EQP_CMP_02,39.14,3.03,98.53,60.73,Normal
LOT_202603_0098,Lithography,EQP_LITHO_02,39.54,2.55,100.47,57.63,Normal
LOT_202603_0098,Etch,EQP_ETCH_01,39.84,2.36,96.07,56.32,Normal
LOT_202603_0098,Deposition,EQP_DEP_03,38.87,2.44,99.89,59.83,Normal
LOT_202603_0098,CMP,EQP_CMP_03,37.63,2.36,96.36,59.14,Normal
LOT_202603_0099,Lithography,EQP_LITHO_02,38.93,2.49,98.27,59.92,Normal
LOT_202603_0099,Etch,EQP_ETCH_02,39.73,2.56,99.74,58.87,Normal
LOT_202603_0099,Deposition,EQP_DEP_02,38.51,2.69,103.3,59.61,Normal
LOT_202603_0099,CMP,EQP_CMP_01,39.31,1.78,98.57,56.46,Normal
LOT_202603_0100,Lithography,EQP_LITHO_01,37.43,2.87,99.34,57.49,Normal
LOT_202603_0100,Etch,EQP_ETCH_03,41.53,2.09,98.32,61.99,Etch drift
LOT_202603_0100,Deposition,EQP_DEP_03,38.66,2.02,100.98,57.46,Normal
LOT_202603_0100,CMP,EQP_CMP_01,38.9,2.63,96.18,59.98,Normal
LOT_202603_0101,Lithography,EQP_LITHO_04,39.05,2.11,99.82,57.94,Normal
LOT_202603_0101,Etch,EQP_ETCH_01,39.24,2.27,96.53,58.51,Normal
LOT_202603_0101,Deposition,EQP_DEP_01,38.29,2.72,99.52,59.17,Normal
LOT_202603_0101,CMP,EQP_CMP_03,38.56,2.33,102.42,57.6,Normal
LOT_202603_0102,Lithography,EQP_LITHO_03,38.59,2.59,101.27,57.18,Normal
LOT_202603_0102,Etch,EQP_ETCH_02,37.61,2.03,101.35,56.84,Normal
LOT_202603_0102,Deposition,EQP_DEP_02,38.99,2.0,96.14,56.99,Normal
LOT_202603_0102,CMP,EQP_CMP_01,38.13,2.35,102.66,58.47,Normal
LOT_202603_0103,Lithography,EQP_LITHO_01,38.58,2.51,99.08,56.96,Normal
LOT_202603_0103,Etch,EQP_ETCH_04,38.19,1.51,99.22,58.24,Normal
LOT_202603_0103,Deposition,EQP_DEP_01,38.93,2.11,98.11,58.91,Normal
LOT_202603_0103,CMP,EQP_CMP_01,38.08,2.65,98.0,56.87,Normal
LOT_202603_0104,Lithography,EQP_LITHO_01,37.97,2.07,101.95,58.77,Normal
LOT_202603_0104,Etch,EQP_ETCH_04,39.68,2.53,97.79,57.5,Normal
LOT_202603_0104,Deposition,EQP_DEP_03,38.45,2.9,97.61,59.34,Normal
LOT_202603_0104,CMP,EQP_CMP_02,39.63,3.12,99.18,59.07,Normal
LOT_202603_0105,Lithography,EQP_LITHO_03,40.6,2.02,96.93,55.18,Normal
LOT_202603_0105,Etch,EQP_ETCH_01,39.5,1.45,99.26,58.66,Normal
LOT_202603_0105,Deposition,EQP_DEP_02,39.13,2.49,100.44,59.92,Normal
LOT_202603_0105,CMP,EQP_CMP_01,39.46,1.97,101.17,57.41,Normal
LOT_202603_0106,Lithography,EQP_LITHO_01,38.68,2.7,101.8,60.53,Normal
LOT_202603_0106,Etch,EQP_ETCH_02,40.14,2.71,96.56,60.74,Normal
LOT_202603_0106,Deposition,EQP_DEP_03,39.64,1.96,101.46,56.44,Normal
LOT_202603_0106,CMP,EQP_CMP_02,39.43,1.71,98.38,59.06,Normal
LOT_202603_0107,Lithography,EQP_LITHO_01,39.75,2.45,99.43,54.83,Normal
LOT_202603_0107,Etch,EQP_ETCH_04,38.85,2.54,99.37,57.97,Normal
LOT_202603_0107,Deposition,EQP_DEP_03,38.87,2.16,100.15,57.59,Normal
LOT_202603_0107,CMP,EQP_CMP_02,40.01,1.31,98.91,56.69,Normal
LOT_202603_0108,Lithography,EQP_LITHO_02,39.15,2.33,103.24,60.93,Normal
LOT_202603_0108,Etch,EQP_ETCH_02,38.46,2.3,100.39,56.8,Normal
LOT_202603_0108,Deposition,EQP_DEP_02,39.44,2.19,97.86,57.58,Normal
LOT_202603_0108,CMP,EQP_CMP_01,39.16,1.46,101.21,58.45,Normal
LOT_202603_0109,Lithography,EQP_LITHO_02,39.45,2.78,100.74,58.22,Normal
LOT_202603_0109,Etch,EQP_ETCH_03,38.38,1.98,102.37,60.15,Normal
LOT_202603_0109,Deposition,EQP_DEP_03,39.82,1.74,96.06,59.06,Normal
LOT_202603_0109,CMP,EQP_CMP_03,38.47,2.43,103.07,57.01,Normal
LOT_202603_0110,Lithography,EQP_LITHO_02,38.74,2.42,97.4,56.86,Normal
LOT_202603_0110,Etch,EQP_ETCH_03,40.32,2.16,101.22,66.25,Etch drift
LOT_202603_0110,Deposition,EQP_DEP_03,37.91,2.98,99.34,57.68,Normal
LOT_202603_0110,CMP,EQP_CMP_01,38.56,2.17,102.84,54.27,Normal
LOT_202603_0111,Lithography,EQP_LITHO_03,39.89,2.45,97.59,56.39,Normal
LOT_202603_0111,Etch,EQP_ETCH_01,40.17,1.87,97.69,59.71,Normal
LOT_202603_0111,Deposition,EQP_DEP_02,39.24,1.88,100.43,56.46,Normal
LOT_202603_0111,CMP,EQP_CMP_02,39.73,2.67,100.0,59.63,Normal
LOT_202603_0112,Lithography,EQP_LITHO_01,39.52,2.95,99.08,55.39,Normal
LOT_202603_0112,Etch,EQP_ETCH_04,39.73,2.46,99.41,57.64,Normal
LOT_202603_0112,Deposition,EQP_DEP_01,40.79,2.01,98.29,58.13,Normal
LOT_202603_0112,CMP,EQP_CMP_01,39.83,3.33,101.31,56.09,Normal
LOT_202603_0113,Lithography,EQP_LITHO_02,40.38,2.29,98.32,56.38,Normal
LOT_202603_0113,Etch,EQP_ETCH_03,39.59,2.41,100.69,59.93,Normal
LOT_202603_0113,Deposition,EQP_DEP_01,39.98,1.7,97.27,57.78,Normal
LOT_202603_0113,CMP,EQP_CMP_03,39.35,3.11,101.41,57.64,Normal
LOT_202603_0114,Lithography,EQP_LITHO_01,38.28,2.85,98.07,60.44,Normal
LOT_202603_0114,Etch,EQP_ETCH_03,40.27,3.02,101.36,61.04,Etch drift
LOT_202603_0114,Deposition,EQP_DEP_01,38.94,2.45,99.64,57.26,Normal
LOT_202603_0114,CMP,EQP_CMP_02,38.12,2.31,95.87,56.97,Normal
LOT_202603_0115,Lithography,EQP_LITHO_03,38.35,2.19,99.57,59.44,Normal
LOT_202603_0115,Etch,EQP_ETCH_01,40.11,1.8,103.99,56.83,Normal
LOT_202603_0115,Deposition,EQP_DEP_03,39.12,2.53,104.89,57.19,Normal
LOT_202603_0115,CMP,EQP_CMP_02,37.74,2.97,98.33,57.46,Normal
LOT_202603_0116,Lithography,EQP_LITHO_04,38.22,3.78,98.32,59.01,Overlay shift
LOT_202603_0116,Etch,EQP_ETCH_02,39.7,2.41,96.31,59.38,Normal
LOT_202603_0116,Deposition,EQP_DEP_01,39.13,2.93,100.25,56.81,Normal
LOT_202603_0116,CMP,EQP_CMP_02,38.86,2.66,98.46,57.34,Normal
LOT_202603_0117,Lithography,EQP_LITHO_04,38.84,1.78,98.49,58.26,Normal
LOT_202603_0117,Etch,EQP_ETCH_02,39.35,2.97,104.54,57.39,Normal
LOT_202603_0117,Deposition,EQP_DEP_03,39.34,2.56,100.39,57.85,Normal
LOT_202603_0117,CMP,EQP_CMP_03,39.31,1.16,101.36,58.19,Normal
LOT_202603_0118,Lithography,EQP_LITHO_04,38.84,4.94,98.65,57.4,Overlay shift
LOT_202603_0118,Etch,EQP_ETCH_01,38.61,2.23,101.68,58.31,Normal
LOT_202603_0118,Deposition,EQP_DEP_03,38.1,2.06,98.79,57.88,Normal
LOT_202603_0118,CMP,EQP_CMP_03,39.3,2.49,96.45,59.6,Normal
LOT_202603_0119,Lithography,EQP_LITHO_03,39.18,2.92,100.89,59.65,Normal
LOT_202603_0119,Etch,EQP_ETCH_02,39.33,2.91,101.04,57.85,Normal
LOT_202603_0119,Deposition,EQP_DEP_01,40.59,2.7,101.15,56.09,Normal
LOT_202603_0119,CMP,EQP_CMP_01,38.1,2.43,100.29,57.08,Normal
LOT_202603_0120,Lithography,EQP_LITHO_01,39.1,3.01,101.39,56.29,Normal
LOT_202603_0120,Etch,EQP_ETCH_04,38.92,1.94,99.22,57.38,Normal
LOT_202603_0120,Deposition,EQP_DEP_02,38.67,1.74,99.74,57.16,Normal
LOT_202603_0120,CMP,EQP_CMP_02,37.34,2.15,99.6,58.28,Normal
LOT_202603_0121,Lithography,EQP_LITHO_02,38.49,2.3,100.25,56.9,Normal
LOT_202603_0121,Etch,EQP_ETCH_03,40.74,2.38,101.09,61.3,Etch drift
LOT_202603_0121,Deposition,EQP_DEP_03,39.12,1.7,99.18,58.2,Normal
LOT_202603_0121,CMP,EQP_CMP_03,38.68,2.2,99.82,57.88,Normal
LOT_202603_0122,Lithography,EQP_LITHO_01,39.04,1.82,98.57,56.07,Normal
LOT_202603_0122,Etch,EQP_ETCH_04,39.68,1.35,102.31,60.08,Normal
LOT_202603_0122,Deposition,EQP_DEP_02,38.79,1.13,103.81,57.9,Thickness high
LOT_202603_0122,CMP,EQP_CMP_02,40.07,2.6,98.15,55.6,Normal
LOT_202603_0123,Lithography,EQP_LITHO_03,38.77,2.2,100.99,57.2,Normal
LOT_202603_0123,Etch,EQP_ETCH_02,39.36,3.17,101.63,57.93,Normal
LOT_202603_0123,Deposition,EQP_DEP_01,38.87,2.14,102.36,57.06,Normal
LOT_202603_0123,CMP,EQP_CMP_01,39.03,2.32,99.0,55.94,Normal
LOT_202603_0124,Lithography,EQP_LITHO_02,39.23,2.27,101.0,57.2,Normal
LOT_202603_0124,Etch,EQP_ETCH_04,39.85,1.91,103.42,55.38,Normal
LOT_202603_0124,Deposition,EQP_DEP_02,39.3,2.51,98.41,58.64,Normal
LOT_202603_0124,CMP,EQP_CMP_01,37.45,2.8,100.31,58.01,Normal
LOT_202603_0125,Lithography,EQP_LITHO_03,39.28,1.93,98.0,57.57,Normal
LOT_202603_0125,Etch,EQP_ETCH_02,39.96,1.77,94.75,57.22,Normal
LOT_202603_0125,Deposition,EQP_DEP_02,39.8,1.52,97.64,58.4,Normal
LOT_202603_0125,CMP,EQP_CMP_03,40.47,3.02,101.36,56.78,Normal
LOT_202603_0126,Lithography,EQP_LITHO_01,38.97,2.23,100.66,60.18,Normal
LOT_202603_0126,Etch,EQP_ETCH_01,39.62,1.82,102.75,58.47,Normal
LOT_202603_0126,Deposition,EQP_DEP_02,39.48,2.96,103.03,57.95,Thickness high
LOT_202603_0126,CMP,EQP_CMP_01,39.24,3.43,96.32,57.95,Normal
LOT_202603_0127,Lithography,EQP_LITHO_03,39.45,2.36,99.77,56.05,Normal
LOT_202603_0127,Etch,EQP_ETCH_01,39.16,1.96,95.62,59.79,Normal
LOT_202603_0127,Deposition,EQP_DEP_01,39.67,2.32,100.46,59.61,Normal
LOT_202603_0127,CMP,EQP_CMP_01,39.16,2.71,99.41,59.97,Normal
LOT_202603_0128,Lithography,EQP_LITHO_01,39.22,2.39,97.46,58.43,Normal
LOT_202603_0128,Etch,EQP_ETCH_02,38.42,2.01,98.37,56.4,Normal
LOT_202603_0128,Deposition,EQP_DEP_01,40.49,2.9,103.84,56.17,Normal
LOT_202603_0128,CMP,EQP_CMP_03,39.05,1.72,98.61,56.62,Normal
LOT_202603_0129,Lithography,EQP_LITHO_04,39.87,2.12,102.14,58.91,Normal
LOT_202603_0129,Etch,EQP_ETCH_04,38.92,2.75,103.81,59.13,Normal
LOT_202603_0129,Deposition,EQP_DEP_01,39.34,2.39,101.3,57.45,Normal
LOT_202603_0129,CMP,EQP_CMP_03,38.81,2.5,99.05,57.45,Normal
LOT_202603_0130,Lithography,EQP_LITHO_02,39.0,2.82,97.73,59.14,Normal
LOT_202603_0130,Etch,EQP_ETCH_01,39.55,2.65,98.39,55.46,Normal
LOT_202603_0130,Deposition,EQP_DEP_01,39.39,2.38,102.01,56.95,Normal
LOT_202603_0130,CMP,EQP_CMP_03,39.53,2.77,99.81,58.63,Normal
LOT_202603_0131,Lithography,EQP_LITHO_02,39.27,1.93,101.06,60.43,Normal
LOT_202603_0131,Etch,EQP_ETCH_02,39.02,1.64,98.63,55.33,Normal
LOT_202603_0131,Deposition,EQP_DEP_03,39.9,2.64,99.0,55.87,Normal
LOT_202603_0131,CMP,EQP_CMP_02,38.42,2.01,100.22,58.11,Normal
LOT_202603_0132,Lithography,EQP_LITHO_02,39.94,1.99,96.98,56.26,Normal
LOT_202603_0132,Etch,EQP_ETCH_02,38.98,1.97,99.42,57.32,Normal
LOT_202603_0132,Deposition,EQP_DEP_02,39.69,2.04,99.25,59.08,Normal
LOT_202603_0132,CMP,EQP_CMP_02,39.29,2.55,100.89,56.76,Normal
LOT_202603_0133,Lithography,EQP_LITHO_01,39.1,2.46,100.01,54.87,Normal
LOT_202603_0133,Etch,EQP_ETCH_03,39.11,3.3,99.28,56.91,Normal
LOT_202603_0133,Deposition,EQP_DEP_02,38.91,2.45,102.41,59.16,Normal
LOT_202603_0133,CMP,EQP_CMP_03,38.9,2.45,102.06,59.31,Normal
LOT_202603_0134,Lithography,EQP_LITHO_04,38.2,4.44,99.87,58.11,Overlay shift
LOT_202603_0134,Etch,EQP_ETCH_04,39.83,2.26,97.76,57.41,Normal
LOT_202603_0134,Deposition,EQP_DEP_03,39.13,2.85,101.21,56.72,Normal
LOT_202603_0134,CMP,EQP_CMP_02,40.74,2.42,102.55,57.77,Normal
LOT_202603_0135,Lithography,EQP_LITHO_02,39.37,2.68,102.44,59.59,Normal
LOT_202603_0135,Etch,EQP_ETCH_03,40.65,2.16,98.86,63.27,Etch drift
LOT_202603_0135,Deposition,EQP_DEP_01,39.05,2.38,97.23,59.19,Normal
LOT_202603_0135,CMP,EQP_CMP_02,39.7,1.97,97.95,57.55,Normal
LOT_202603_0136,Lithography,EQP_LITHO_04,39.02,3.66,99.88,58.33,Overlay shift
LOT_202603_0136,Etch,EQP_ETCH_02,37.09,2.72,100.03,59.57,Normal
LOT_202603_0136,Deposition,EQP_DEP_01,38.2,2.31,100.43,57.16,Normal
LOT_202603_0136,CMP,EQP_CMP_03,37.91,3.09,102.8,57.43,Normal
LOT_202603_0137,Lithography,EQP_LITHO_03,39.36,2.08,98.01,60.74,Normal
LOT_202603_0137,Etch,EQP_ETCH_03,39.64,2.17,100.17,64.67,Etch drift
LOT_202603_0137,Deposition,EQP_DEP_03,39.56,2.25,99.08,57.76,Normal
LOT_202603_0137,CMP,EQP_CMP_03,38.74,1.69,98.57,58.78,Normal
LOT_202603_0138,Lithography,EQP_LITHO_02,39.23,2.38,98.01,57.73,Normal
LOT_202603_0138,Etch,EQP_ETCH_02,37.48,2.38,102.86,55.79,Normal
LOT_202603_0138,Deposition,EQP_DEP_02,38.59,2.45,107.84,57.33,Thickness high
LOT_202603_0138,CMP,EQP_CMP_02,39.07,3.22,100.55,57.97,Normal
LOT_202603_0139,Lithography,EQP_LITHO_04,39.23,2.3,98.37,59.23,Normal
LOT_202603_0139,Etch,EQP_ETCH_03,39.2,2.05,97.16,57.22,Normal
LOT_202603_0139,Deposition,EQP_DEP_02,39.7,2.08,103.0,56.86,Thickness high
LOT_202603_0139,CMP,EQP_CMP_03,37.76,2.51,96.34,56.16,Normal
LOT_202603_0140,Lithography,EQP_LITHO_03,37.55,2.26,99.7,57.51,Normal
LOT_202603_0140,Etch,EQP_ETCH_02,38.27,1.77,100.93,57.17,Normal
LOT_202603_0140,Deposition,EQP_DEP_02,39.22,1.9,107.23,59.95,Thickness high
LOT_202603_0140,CMP,EQP_CMP_02,39.41,2.11,100.51,57.64,Normal
LOT_202603_0141,Lithography,EQP_LITHO_01,39.01,2.15,99.67,58.32,Normal
LOT_202603_0141,Etch,EQP_ETCH_01,38.3,1.84,97.22,55.6,Normal
LOT_202603_0141,Deposition,EQP_DEP_02,38.15,2.37,103.72,58.77,Thickness high
LOT_202603_0141,CMP,EQP_CMP_03,39.46,2.66,98.01,58.63,Normal
LOT_202603_0142,Lithography,EQP_LITHO_01,38.4,2.34,97.47,55.31,Normal
LOT_202603_0142,Etch,EQP_ETCH_04,38.73,2.24,99.2,56.22,Normal
LOT_202603_0142,Deposition,EQP_DEP_01,38.72,2.42,99.91,58.27,Normal
LOT_202603_0142,CMP,EQP_CMP_01,38.53,2.83,97.65,58.73,Normal
LOT_202603_0143,Lithography,EQP_LITHO_02,39.83,2.52,99.59,57.21,Normal
LOT_202603_0143,Etch,EQP_ETCH_04,39.73,1.66,98.06,57.4,Normal
LOT_202603_0143,Deposition,EQP_DEP_01,39.87,2.47,98.06,57.53,Normal
LOT_202603_0143,CMP,EQP_CMP_02,38.57,1.98,101.96,55.94,Normal
LOT_202603_0144,Lithography,EQP_LITHO_04,40.13,4.25,102.18,57.31,Overlay shift
LOT_202603_0144,Etch,EQP_ETCH_02,38.63,2.52,102.59,56.34,Normal
LOT_202603_0144,Deposition,EQP_DEP_02,38.74,2.23,97.21,58.89,Normal
LOT_202603_0144,CMP,EQP_CMP_02,38.62,2.18,97.88,57.93,Normal
LOT_202603_0145,Lithography,EQP_LITHO_03,39.33,2.2,101.33,56.79,Normal
LOT_202603_0145,Etch,EQP_ETCH_03,41.44,2.35,103.09,64.95,Etch drift
LOT_202603_0145,Deposition,EQP_DEP_02,38.23,1.64,98.52,59.79,Normal
LOT_202603_0145,CMP,EQP_CMP_03,39.43,2.98,99.52,55.5,Normal
LOT_202603_0146,Lithography,EQP_LITHO_04,39.52,3.89,99.71,59.18,Overlay shift
LOT_202603_0146,Etch,EQP_ETCH_01,38.6,1.0,101.4,57.62,Normal
LOT_202603_0146,Deposition,EQP_DEP_01,40.06,2.48,98.92,59.6,Normal
LOT_202603_0146,CMP,EQP_CMP_02,39.81,2.2,102.39,57.17,Normal
LOT_202603_0147,Lithography,EQP_LITHO_01,39.11,2.56,101.57,58.93,Normal
LOT_202603_0147,Etch,EQP_ETCH_04,38.77,2.79,99.75,57.15,Normal
LOT_202603_0147,Deposition,EQP_DEP_03,38.61,3.17,98.52,59.94,Normal
LOT_202603_0147,CMP,EQP_CMP_02,38.21,2.52,100.59,60.43,Normal
LOT_202603_0148,Lithography,EQP_LITHO_01,38.54,1.88,99.77,60.5,Normal
LOT_202603_0148,Etch,EQP_ETCH_03,38.38,1.14,100.12,59.42,Normal
LOT_202603_0148,Deposition,EQP_DEP_01,38.76,1.57,99.47,57.5,Normal
LOT_202603_0148,CMP,EQP_CMP_02,39.67,2.51,97.64,58.26,Normal
LOT_202603_0149,Lithography,EQP_LITHO_03,39.47,2.99,101.78,59.14,Normal
LOT_202603_0149,Etch,EQP_ETCH_01,39.04,2.47,102.5,56.0,Normal
LOT_202603_0149,Deposition,EQP_DEP_02,38.76,1.95,100.76,59.85,Normal
LOT_202603_0149,CMP,EQP_CMP_01,39.82,2.26,101.71,57.45,Normal
LOT_202603_0150,Lithography,EQP_LITHO_01,39.07,2.24,99.34,58.54,Normal
LOT_202603_0150,Etch,EQP_ETCH_03,38.15,2.19,100.63,60.76,Normal
LOT_202603_0150,Deposition,EQP_DEP_03,38.59,2.02,99.81,57.64,Normal
LOT_202603_0150,CMP,EQP_CMP_01,39.78,2.38,98.54,60.84,Normal
